Report Date,Report For Date,Total Loads
12/19/2016,12/16/2016,515.74
12/12/2016,12/09/2016,378.29
12/05/2016,12/02/2016,855.32
11/28/2016,11/25/2016,421.34
11/21/2016,11/18/2016,980.74
11/14/2016,11/11/2016,634.64
11/07/2016,11/04/2016,"1,175.78"
10/31/2016,10/28/2016,464.49
10/24/2016,10/21/2016,650.21
10/17/2016,10/14/2016,711.91
10/10/2016,10/07/2016,"1,142.22"
10/03/2016,09/30/2016,849.95
09/26/2016,09/23/2016,672.93
09/19/2016,09/16/2016,500.17
09/12/2016,09/09/2016,363.48
09/06/2016,09/02/2016,959.64
08/29/2016,08/26/2016,921.72
08/22/2016,08/19/2016,789.23
08/15/2016,08/12/2016,397.85
08/08/2016,08/05/2016,583.81
08/01/2016,07/29/2016,414.60
07/25/2016,07/22/2016,295.73
07/18/2016,07/15/2016,656.92
07/11/2016,07/08/2016,323.57
07/05/2016,07/01/2016,279.00
06/27/2016,06/24/2016,824.75
06/20/2016,06/17/2016,421.24
06/13/2016,06/10/2016,273.09
06/06/2016,06/03/2016,406.26
05/31/2016,05/27/2016,298.79
05/23/2016,05/20/2016,619.34
05/16/2016,05/13/2016,296.73
05/09/2016,05/06/2016,477.48
05/02/2016,04/29/2016,756.53
04/25/2016,04/22/2016,338.01
04/18/2016,04/15/2016,569.57
04/11/2016,04/08/2016,428.33
04/04/2016,04/01/2016,499.39
03/28/2016,03/25/2016,595.03
03/21/2016,03/18/2016,662.68
03/14/2016,03/11/2016,606.07
03/07/2016,03/04/2016,897.25
02/29/2016,02/26/2016,783.80
02/22/2016,02/19/2016,436.88
02/15/2016,02/12/2016,460.48
02/08/2016,02/05/2016,415.11
02/01/2016,01/29/2016,347.08
01/25/2016,01/22/2016,"1,023.70"
01/18/2016,01/15/2016,685.12
01/11/2016,01/08/2016,389.84
01/04/2016,01/01/2016,335.70
12/28/2015,12/25/2015,337.99
12/21/2015,12/18/2015,647.04
12/14/2015,12/11/2015,257.37
12/07/2015,12/04/2015,216.12
11/30/2015,11/27/2015,458.36
11/23/2015,11/20/2015,862.08
11/16/2015,11/13/2015,392.27
11/09/2015,11/06/2015,544.18
11/02/2015,10/30/2015,576.20
10/26/2015,10/23/2015,531.54
10/19/2015,10/16/2015,396.94
10/12/2015,10/09/2015,351.03
10/05/2015,10/02/2015,301.79
09/28/2015,09/25/2015,486.04
09/21/2015,09/18/2015,393.69
09/14/2015,09/11/2015,693.15
09/08/2015,09/04/2015,504.68
08/31/2015,08/28/2015,582.18
08/24/2015,08/21/2015,310.62
08/17/2015,08/14/2015,403.73
08/10/2015,08/07/2015,547.92
08/03/2015,07/31/2015,221.47
07/27/2015,07/24/2015,291.85
07/20/2015,07/17/2015,291.86
07/13/2015,07/10/2015,434.69
07/06/2015,07/03/2015,352.04
06/29/2015,06/26/2015,437.64
06/22/2015,06/19/2015,631.87
06/15/2015,06/12/2015,431.34
06/08/2015,06/05/2015,298.00
06/01/2015,05/29/2015,164.71
05/26/2015,05/22/2015,289.09
05/18/2015,05/15/2015,260.36
05/11/2015,05/08/2015,463.47
05/04/2015,05/01/2015,648.49
04/27/2015,04/24/2015,408.47
04/20/2015,04/17/2015,480.60
04/13/2015,04/10/2015,272.08
04/06/2015,04/03/2015,674.65
03/30/2015,03/27/2015,980.01
