,Report Date,Report For Date,Total Loads
59,07/02/2018,06/29/2018,510.42
60,06/25/2018,06/22/2018,535.09
61,06/18/2018,06/15/2018,447.28
62,06/11/2018,06/08/2018,698.92
63,06/04/2018,06/01/2018,354.24
64,05/29/2018,05/25/2018,462.67
65,05/21/2018,05/18/2018,438.08
66,05/14/2018,05/11/2018,550.05
67,05/07/2018,05/04/2018,741.42
68,04/30/2018,04/27/2018,517.38
69,04/23/2018,04/20/2018,450.26
70,04/16/2018,04/13/2018,687.66
71,04/09/2018,04/06/2018,753.64
72,04/02/2018,03/30/2018,514.94
73,03/26/2018,03/23/2018,637.58
74,03/19/2018,03/16/2018,920.98
75,03/12/2018,03/09/2018,"1,044.77"
76,03/05/2018,03/02/2018,622.60
77,02/26/2018,02/23/2018,474.78
78,02/19/2018,02/16/2018,640.04
79,02/12/2018,02/09/2018,780.56
80,02/05/2018,02/02/2018,501.08
81,01/29/2018,01/26/2018,783.37
82,01/22/2018,01/19/2018,848.46
83,01/15/2018,01/12/2018,819.90
84,01/08/2018,01/05/2018,537.28
85,01/02/2018,12/29/2017,915.77
86,12/26/2017,12/22/2017,742.27
87,12/18/2017,12/15/2017,"1,374.92"
88,12/11/2017,12/08/2017,720.27
89,12/04/2017,12/01/2017,507.23
90,11/27/2017,11/24/2017,376.52
91,11/20/2017,11/17/2017,563.99
92,11/13/2017,11/10/2017,586.36
93,11/06/2017,11/03/2017,446.53
94,10/30/2017,10/27/2017,953.35
95,10/23/2017,10/20/2017,469.87
96,10/16/2017,10/13/2017,583.11
97,10/09/2017,10/06/2017,335.58
98,10/02/2017,09/29/2017,987.39
99,09/25/2017,09/22/2017,965.48
100,09/18/2017,09/15/2017,615.27
101,09/11/2017,09/08/2017,636.68
102,09/05/2017,09/01/2017,613.76
103,08/28/2017,08/25/2017,810.95
104,08/21/2017,08/18/2017,583.71
105,08/14/2017,08/11/2017,572.69
106,08/07/2017,08/04/2017,782.51
107,07/31/2017,07/28/2017,784.16
108,07/24/2017,07/21/2017,450.35
109,07/17/2017,07/14/2017,261.94
110,07/10/2017,07/07/2017,281.91
111,07/03/2017,06/30/2017,297.16
112,06/26/2017,06/23/2017,435.19
113,06/19/2017,06/16/2017,425.91
114,06/12/2017,06/09/2017,568.30
115,06/05/2017,06/02/2017,347.65
116,05/30/2017,05/26/2017,495.98
117,05/22/2017,05/19/2017,402.70
118,05/15/2017,05/12/2017,365.28
119,05/08/2017,05/05/2017,692.38
120,05/01/2017,04/28/2017,456.79
121,04/24/2017,04/21/2017,572.74
122,04/17/2017,04/14/2017,506.52
123,04/10/2017,04/07/2017,631.51
124,04/03/2017,03/31/2017,822.51
125,03/27/2017,03/24/2017,647.04
126,03/20/2017,03/17/2017,750.40
